,variance,pearson_corr_with_target,mutual_info
str,10.38484815777974,0.5780693116709363,0.5139080492197428
dex,4.959187918235696,0.5157249899833882,0.29005221145599513
con,4.873146718993231,0.6819507967676486,0.3948921687128184
int,12.1425277458239,0.48951932398958947,0.2429545146534986
wis,4.524830421783975,0.6849328260360097,0.3844627013706141
cha,10.468689459367003,0.5489167575301426,0.3135849181394157
ac,78.5593160515751,0.9805820331388376,1.866010659993897
hp,13468.883728002756,0.9629692009698428,1.764768260682529
fortitude,77.8283743890536,0.9635270627353372,1.3775331112979714
reflex,68.4576638610266,0.9524978450392143,1.2489799983889869
will,81.73381853704811,0.9655821203645778,1.369064561095291
focus,0.2999385609673607,0.14507993608358039,0.04029254941267846
perception,81.60397889663746,0.9640755469971817,1.5379184522834146
num_immunities,5.593516466331514,0.18119538222892184,0.09152803752535466
land_speed,148.07726400451554,0.38539541860731086,0.14705774471897115
fly,1712.9893537459711,0.43314927907519835,0.14815341709116625
swim,198.87344080368888,0.13140492851340493,0.017253472718680385
spells_nr_lvl_1,2.842831104858739,0.19752030369220341,0.025354418874706575
spells_nr_lvl_2,2.166095599090438,0.2888464297153161,0.07144052316388017
spells_nr_lvl_3,1.2216934056454616,0.32215678751882176,0.0823066630595708
spells_nr_lvl_4,1.3134227184501865,0.43441236770757113,0.13439979864995566
spells_nr_lvl_5,0.9310152141848496,0.4422562979431701,0.13819495152146466
spells_nr_lvl_6,0.7016863054818773,0.4714152542081542,0.1568223379110809
spells_nr_lvl_7,0.4704747558085331,0.4571295291264607,0.1476524887316839
spells_nr_lvl_8,0.274641678170894,0.4046571232907177,0.0999373103346528
spells_nr_lvl_9,0.1960894662742507,0.3886654248907346,0.11535862026278076
melee_max_bonus,96.51523755086265,0.882919046887266,1.8113867021998535
avg_melee_dmg,117.32903807529246,0.8494070082673641,1.0293049717734775
ranged_max_bonus,85.13740668077276,0.2863959916550427,0.43948414057959084
avg_ranged_dmg,61.46641942209614,0.30192659922388304,0.23002957511543354
max_spell_lvl,8.64004227280405,0.600466607235431,0.37183540779955315
spell_dc,229.73757101341582,0.561369556306417,0.855843315770338
spell_attack,124.39487087464445,0.5470762825400812,0.7246866994032573
