epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.07788848876953125,0.02867166076244938,True,0.024830164979856142,True
2,30,8,0.07075285911560059,0.022098924246751393,True,0.020933887934058495,True
3,30,8,0.07008767127990723,0.018751392793992128,True,0.01651737306447977,True
4,30,8,0.0827631950378418,0.014298147465856677,True,0.011996250196410208,True
5,30,8,0.08726215362548828,0.010438465871263016,True,0.008469121925013558,True
6,30,8,0.09046721458435059,0.007772326175371281,True,0.006495585038160478,True
7,30,8,0.08060622215270996,0.006234197160907664,True,0.005351580560419791,True
8,30,8,0.09314322471618652,0.005276582290840344,True,0.004617522159884384,True
9,30,8,0.0931234359741211,0.004620614930704126,True,0.004106125888270114,True
10,30,8,0.08301496505737305,0.004138140501788844,True,0.0037310264855642916,True
11,30,8,0.0897214412689209,0.003777947252490405,True,0.0034613894272119655,True
12,30,8,0.09601712226867676,0.0035028407476063515,True,0.0032589022284560494,True
13,30,8,0.09368014335632324,0.0032882504919966742,True,0.003091147201186894,True
14,30,8,0.09218549728393555,0.0031124704754434394,True,0.0029519857792527963,True
15,30,8,0.08878827095031738,0.002970014296820212,True,0.002838383581678146,True
16,30,8,0.08110284805297852,0.002853554255528712,True,0.0027458709168003003,True
17,30,8,0.09500813484191895,0.002757181588524939,True,0.002669000294238502,True
18,30,8,0.08298730850219727,0.002676427170610667,True,0.0026047648660398022,True
19,30,8,0.08711767196655273,0.002607986677896306,True,0.002551579503971914,True
20,30,8,0.10635113716125488,0.002549416053924147,True,0.0025062430229572993,True
21,30,8,0.08886361122131348,0.0024986893436237147,True,0.002467347623941655,True
22,30,8,0.08623981475830078,0.002454315414730904,True,0.0024332990073289134,True
23,30,8,0.08755946159362793,0.0024150496087142256,True,0.002403884870664009,True
24,30,8,0.08679914474487305,0.002379928753635558,True,0.0023773022277778313,True
25,30,8,0.09238553047180176,0.002348339425571019,True,0.0023541871766602066,True
26,30,8,0.08409261703491211,0.002319569986632218,True,0.0023327680408399957,True
27,30,8,0.09069418907165527,0.0022930323197668636,True,0.0023134430846319374,True
28,30,8,0.08714485168457031,0.002268491187595114,True,0.00229462191763451,True
29,30,8,0.08448171615600586,0.0022454216530243647,True,0.002276142431942327,True
30,30,8,0.08677792549133301,0.002223811811942572,True,0.002258694275118088,True
31,30,8,0.10044622421264648,0.0022038552128742306,True,0.002242768020836249,True
32,30,8,0.0964045524597168,0.0021851191302336586,True,0.0022278102876966644,True
33,30,8,0.08973956108093262,0.002167692004138488,True,0.0022148342673797574,True
34,30,8,0.08929109573364258,0.0021513825612646206,True,0.0022031378365832814,True
35,30,8,0.08586359024047852,0.0021358846247672186,True,0.0021916356224393613,True
36,30,8,0.08457350730895996,0.00212112150214998,True,0.0021801609624621733,True
37,30,8,0.09513592720031738,0.002107037893799355,True,0.002169716003259453,True
38,30,8,0.09244871139526367,0.0020937526532436045,True,0.002160550780848078,True
39,30,8,0.09394717216491699,0.00208110881734781,True,0.0021520746769059015,True
40,30,8,0.08986043930053711,0.002069016255452096,True,0.002143359961383509,True
