epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.06971359252929688,0.626219948153813,True,0.5307248668723524,True
2,30,8,0.06346654891967773,0.457361128004199,True,0.42991540641568154,True
3,30,8,0.06995916366577148,0.3928311146174212,True,0.35096407018468145,True
4,30,8,0.07363772392272949,0.3100168003986856,True,0.2610019793008172,True
5,30,8,0.07101631164550781,0.23259867905563386,True,0.19361540055199436,True
6,30,8,0.06923913955688477,0.17638601908713988,True,0.14455991885855934,True
7,30,8,0.06874990463256836,0.13859699356518174,True,0.11686177926242289,True
8,30,8,0.0708456039428711,0.11561373269545365,True,0.0993155498360505,True
9,30,8,0.0707862377166748,0.10039223354494685,True,0.0873183465494903,True
10,30,8,0.0688314437866211,0.08952040490404228,True,0.07872548486954811,True
11,30,8,0.07185983657836914,0.08135206952549462,True,0.07228038799894901,True
12,30,8,0.07301688194274902,0.07501145216627508,True,0.06739214508781463,True
13,30,8,0.0707545280456543,0.06997668072817317,True,0.06372511261383734,True
14,30,8,0.06981182098388672,0.06591786356070477,True,0.06074331257464767,True
15,30,8,0.07509541511535645,0.0625958253630489,True,0.058204633680417145,True
16,30,8,0.07590532302856445,0.059831089539789724,True,0.05609426625788904,True
17,30,8,0.07453370094299316,0.05749936801909519,True,0.05432574522957882,True
18,30,8,0.06879234313964844,0.0555188173139045,True,0.052826631153366256,True
19,30,8,0.06978583335876465,0.05382194596223745,True,0.05156536990778625,True
20,30,8,0.06993627548217773,0.05235772795479552,True,0.050507210242269916,True
21,30,8,0.0685427188873291,0.05108195164859484,True,0.049589982777519234,True
22,30,8,0.06988215446472168,0.04996472584927472,True,0.04881180104540923,True
23,30,8,0.07501935958862305,0.04897957342384735,True,0.048157525320617046,True
24,30,8,0.07813477516174316,0.04810382576448864,True,0.047587600152117396,True
25,30,8,0.08240795135498047,0.047324558112223525,True,0.04710631383683261,True
26,30,8,0.07491016387939453,0.0466233195329858,True,0.04669044825318245,True
27,30,8,0.07608413696289062,0.04599101323764201,True,0.046303347016683725,True
28,30,8,0.07500863075256348,0.045411379364689905,True,0.04595507169191538,True
29,30,8,0.07285594940185547,0.04488427208887989,True,0.04565177129339643,True
30,30,8,0.0729072093963623,0.0444027341453805,True,0.04538315257260137,True
31,30,8,0.07401919364929199,0.04395851779654386,True,0.04512397279331525,True
32,30,8,0.07651185989379883,0.04354217032869489,True,0.04484761360375783,True
33,30,8,0.07642912864685059,0.043154376491101765,True,0.04460727129969451,True
34,30,8,0.07601404190063477,0.042783591461612785,True,0.04434360002011155,True
35,30,8,0.07596683502197266,0.04243302403692522,True,0.04411374411320485,True
36,30,8,0.07489585876464844,0.04210863523814658,True,0.043896748706965916,True
37,30,8,0.0708158016204834,0.041800074725792426,True,0.04368962779436595,True
38,30,8,0.07595014572143555,0.04149936482412574,True,0.04347575811911158,True
39,30,8,0.07594132423400879,0.04121436340755998,True,0.04328590679083732,True
40,30,8,0.07819628715515137,0.04093905188410751,True,0.04311122580056709,True
