epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.09538078308105469,9.640214837466022,True,5.675373599043366,True
2,30,8,0.08611702919006348,4.9651620294879075,True,4.109775528107173,True
3,30,8,0.0843801498413086,3.833684652886396,True,3.430747880099819,True
4,30,8,0.08467578887939453,3.280677237757408,True,2.995998979495974,True
5,30,8,0.08588957786560059,2.943974229576973,True,2.7153587814621085,True
6,30,8,0.0844733715057373,2.6797768556077224,True,2.5026851002492774,True
7,30,8,0.08652019500732422,2.4818329249667013,True,2.3325309040931614,True
8,30,8,0.08803176879882812,2.3479762794853136,True,2.1937273991271584,True
9,30,8,0.09165668487548828,2.250111562775206,True,2.114798054649812,True
10,30,8,0.0852508544921875,2.1509787225672916,True,2.0025781620895726,True
11,30,8,0.08766007423400879,2.0150229010687712,True,1.927130405351504,True
12,30,8,0.0921945571899414,1.9363805061912336,True,1.8576948472791388,True
13,30,8,0.09604930877685547,1.8638819936965814,True,1.8607401701817416,False
14,30,8,0.09784126281738281,1.8167872280354485,True,1.7862263075779208,True
15,30,8,0.09289860725402832,1.754908105010342,True,1.696834859651648,True
16,30,8,0.0975644588470459,1.691618589312625,True,1.645686299647298,True
17,30,8,0.09454894065856934,1.6254808949316442,True,1.6887529445172866,False
18,30,8,0.0917205810546875,1.6003263201859583,True,1.5551321953377728,True
19,30,8,0.09166646003723145,1.5726623370252164,True,1.5445882068138566,True
20,30,8,0.09811186790466309,1.6108132257129222,False,1.5401128276222738,True
21,30,8,0.09135913848876953,1.505387394959471,True,1.4504015854822419,True
22,30,8,0.09186267852783203,1.4958837574865145,True,1.5091053150523426,False
23,30,8,0.09339690208435059,1.530451644687995,False,1.5081488055185883,False
24,30,8,0.09591102600097656,1.4269045014819475,True,1.3983500585384832,True
25,30,8,0.10038113594055176,1.3838633417202024,True,1.3748292500013535,True
26,30,8,0.10101819038391113,1.3819345578220854,True,1.3658749372427919,True
27,30,8,0.10105276107788086,1.3561618357047107,True,1.359837019959624,True
28,30,8,0.10245108604431152,1.3211361514728952,True,1.352748286384212,True
29,30,8,0.10237741470336914,1.2996688349823513,True,1.2758614429073072,True
30,30,8,0.10246682167053223,1.3019775310816457,False,1.2597765673302044,True
31,30,8,0.11229157447814941,1.2734719139721478,True,1.255047301178623,True
32,30,8,0.10453987121582031,1.2367403704865807,True,1.2828676957389245,False
33,30,8,0.09840106964111328,1.2323309024510691,True,1.2165371403648835,True
34,30,8,0.10187768936157227,1.2351831323619629,False,1.2530428461942904,False
35,30,8,0.09970593452453613,1.200332992935382,True,1.361337621713012,False
36,30,8,0.10237884521484375,1.2066901150575535,False,1.1922443738834658,True
37,30,8,0.10004138946533203,1.172510242323689,True,1.2406702815794013,False
38,30,8,0.10194110870361328,1.179027706667891,False,1.1490128084372064,True
39,30,8,0.10064244270324707,1.2125610617926657,False,1.2770819742047674,False
40,30,8,0.10057234764099121,1.1523780052362298,True,1.275296114691963,False
