epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.10478639602661133,3.195040300755969,True,2.4173108108947496,True
2,30,8,0.10537290573120117,2.3269264208351546,True,2.1085043351275115,True
3,30,8,0.10194683074951172,1.9709337152926194,True,1.7996028826631991,True
4,30,8,0.10361576080322266,1.619856294004567,True,1.4102760295303973,True
5,30,8,0.1027672290802002,1.3385671876929504,True,1.090762051634703,True
6,30,8,0.09753918647766113,1.1884598130283537,True,1.0848653050888932,True
7,30,8,0.10187149047851562,1.1516931047535244,True,1.0199032140130604,True
8,30,8,0.0992434024810791,1.0440278998649863,True,0.9481310262221847,True
9,30,8,0.10465669631958008,1.0237838261482457,True,0.9238064493020208,True
10,30,8,0.09992694854736328,0.9771236480855892,True,0.9269387839714098,False
11,30,8,0.10077214241027832,0.9724701198630248,True,0.8818216705271913,True
12,30,8,0.10152983665466309,0.9169376231297268,True,0.9105680244399477,False
13,30,8,0.10150599479675293,0.9880199125223452,False,0.8540212710278843,True
14,30,8,0.1020512580871582,0.865043057685417,True,0.8519958615806563,True
15,30,8,0.10242152214050293,0.8981359465069353,False,0.8753596948973102,False
16,30,8,0.10702204704284668,0.9311301492335552,False,0.8500614150524642,True
17,30,8,0.10244297981262207,0.8386814440694002,True,0.8489086622924966,True
18,30,8,0.10277938842773438,0.9044679060908783,False,0.8776268809876447,False
19,30,8,0.09894871711730957,0.8373196218182444,True,0.7910728343185175,True
20,30,8,0.09848308563232422,0.8188601332581912,True,0.8362248744481217,False
21,30,8,0.10473847389221191,0.8696843792921386,False,0.8385745971104663,False
22,30,8,0.10015249252319336,0.7713426371058794,True,0.7920431960472462,False
23,30,8,0.10323047637939453,0.8068122963215507,False,0.8390749804950943,False
24,30,8,0.10431408882141113,0.7991059946787269,False,0.7910310322656803,True
25,30,8,0.10480117797851562,0.7768319477627119,False,0.8634099312040093,False
26,30,8,0.1076517105102539,0.7890433244241958,False,0.8330458505856072,False
27,30,8,0.10705375671386719,0.7405231584339484,True,0.7995507613280759,False
28,30,8,0.10672640800476074,0.7496933138357926,False,0.8506965510696645,False
29,30,8,0.11442995071411133,0.8095731755999854,False,0.8115768649132475,False
30,30,8,0.10908889770507812,0.7437455385388392,False,0.8235831996455489,False
31,30,8,0.1042487621307373,0.7413604663568918,False,0.8228556593720739,False
32,30,8,0.1074075698852539,0.7861186299618597,False,0.7774628471295962,True
33,30,8,0.10972118377685547,0.6864607447115144,True,0.8074178197819429,False
34,30,8,0.1062769889831543,0.7136072022358493,False,0.7828586175172356,False
35,30,8,0.10681366920471191,0.7358921821354057,False,0.7604959477466917,True
36,30,8,0.10546708106994629,0.6813382659315937,True,0.8049311742989037,False
37,30,8,0.10637903213500977,0.7490231475960994,False,0.7666444574515192,False
38,30,8,0.1052863597869873,0.6673477224085121,True,0.7839255324764514,False
39,30,8,0.1033029556274414,0.6876496905510125,False,0.767571969545882,False
40,30,8,0.10645675659179688,0.6692088395199781,False,0.7628184865369464,False
