epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,29,8,0.13964509963989258,0.01612677654772418,True,0.004770157977599614,True
2,29,8,0.08668780326843262,0.0033519678823050363,True,0.0032419281369271574,True
3,29,8,0.08566570281982422,0.002651568501412488,True,0.0024379836103375525,True
4,29,8,0.09095573425292969,0.002442272379089945,True,0.0023098283691009246,True
5,29,8,0.08607268333435059,0.0023386745619847047,True,0.002231081000727691,True
6,29,8,0.0865936279296875,0.0022616789421194814,True,0.002164519409655276,True
7,29,8,0.08860945701599121,0.002183701253452697,True,0.002117222041273066,True
8,29,8,0.08768486976623535,0.0021295466705263653,True,0.00208640519798848,True
9,29,8,0.08379817008972168,0.002088308532553809,True,0.002056282556710866,True
10,29,8,0.09113121032714844,0.0020536460246235446,True,0.002038022432839095,True
11,29,8,0.08856511116027832,0.002024428830580263,True,0.002064493407658637,False
12,29,8,0.09378671646118164,0.0020008088309435663,True,0.002320999423683839,False
13,29,8,0.08846712112426758,0.0019496322894255972,True,0.0023054895699272278,False
14,29,8,0.08720660209655762,0.0019143770694873244,True,0.002288620775311226,False
15,29,8,0.08832240104675293,0.0018855985968562875,True,0.0022594908788049805,False
16,29,8,0.09002399444580078,0.0018017054476013425,True,0.00225150498373436,False
17,29,8,0.08798551559448242,0.0017893908387225754,True,0.002239172943308536,False
18,29,8,0.08589458465576172,0.0017729922618714888,True,0.002223656984143265,False
19,29,8,0.09219145774841309,0.001754850093854155,True,0.0022155056963648885,False
20,29,8,0.08835792541503906,0.0017349408329883126,True,0.002188532793461309,False
21,29,8,0.09345889091491699,0.0017065500744156432,True,0.0021602469580413383,False
22,29,8,0.10827875137329102,0.0016939935532706552,True,0.002135839290269852,False
23,29,8,0.11925673484802246,0.001671769037921825,True,0.0021223093635742694,False
24,29,8,0.11881756782531738,0.001661882303333681,True,0.0021007123499381026,False
25,29,8,0.11292028427124023,0.0016426138601681377,True,0.002093990111401042,False
26,29,8,0.11576008796691895,0.001630090607770023,True,0.0020807628717777896,False
27,29,8,0.11209654808044434,0.0016118620042833856,True,0.0021045642973933697,False
28,29,8,0.11246585845947266,0.001600323722477626,True,0.0020671600720624994,False
29,29,8,0.11290597915649414,0.0015729785972811306,True,0.0020520678224180567,False
30,29,8,0.10548257827758789,0.0015605509738033673,True,0.0020511710102030065,False
31,29,8,0.10899734497070312,0.001547111604790659,True,0.002041385566441551,False
32,29,8,0.10316586494445801,0.0015445049652766712,True,0.002053248591113269,False
33,29,8,0.09557700157165527,0.0015452948881346281,False,0.002040030302419911,False
34,29,8,0.09437847137451172,0.0015232472606990424,True,0.002007264034051477,True
35,29,8,0.10816431045532227,0.0014991418970955513,True,0.0020064756263369955,True
36,29,8,0.11438822746276855,0.0015003464076684563,False,0.0019984297309903953,True
37,29,8,0.09370946884155273,0.0014999780193933562,False,0.0019976795945868524,True
38,29,8,0.09549641609191895,0.0014927656442489264,True,0.002002715472169179,False
39,29,8,0.10489106178283691,0.00148801139303143,True,0.0019856883382443316,True
40,29,8,0.11201858520507812,0.0014690039559245754,True,0.0019743579480389793,True
