epoch,train_batch_count,valid_batch_count,dur,train_loss,train_loss_best,valid_loss,valid_loss_best
1,30,8,0.08532452583312988,0.4000569266810966,True,0.18306367812086183,True
2,30,8,0.0645148754119873,0.11595158312379245,True,0.07244000945794922,True
3,30,8,0.06680560111999512,0.08043501790860764,True,0.06166622352244484,True
4,30,8,0.06631016731262207,0.06336411645335029,True,0.05503857289190151,True
5,30,8,0.06690645217895508,0.05920781896556821,True,0.049853503054997236,True
6,30,8,0.06484317779541016,0.06499735022075828,False,0.05869914046090407,False
7,30,8,0.06685781478881836,0.05786721127495217,True,0.05900239566028307,False
8,30,8,0.06477713584899902,0.04799777699325631,True,0.05121814605898943,False
9,30,8,0.06716084480285645,0.044658160916949526,True,0.04608698468163625,True
10,30,8,0.06453061103820801,0.05092461565322584,False,0.04877589880208531,False
11,30,8,0.06693100929260254,0.07956076330783626,False,0.092651905619796,False
12,30,8,0.06519746780395508,0.07474593182882135,False,0.11892622717141853,False
13,30,8,0.0669865608215332,0.06559416839367108,False,0.05069814487866892,False
14,30,8,0.06774234771728516,0.04736019148950592,False,0.04192849084215658,True
15,30,8,0.06911683082580566,0.041966306629817866,True,0.04396308358235495,False
16,30,8,0.07317733764648438,0.04087113960003903,True,0.05180017137555789,False
17,30,8,0.06871342658996582,0.04132006870073275,False,0.05058475412672273,False
18,30,8,0.06915521621704102,0.04065127361569762,True,0.050613462303419926,False
19,30,8,0.0694425106048584,0.04091987495311588,False,0.04883197433420446,False
20,30,8,0.07017016410827637,0.04126857610570843,False,0.04828660302218187,False
21,30,8,0.07000231742858887,0.04245929733123296,False,0.04760806393094652,False
22,30,8,0.07332921028137207,0.04193891978251267,False,0.04762584387217555,False
23,30,8,0.07191181182861328,0.04140253216342916,False,0.04569696679852958,False
24,30,8,0.07422184944152832,0.04181038760191662,False,0.043024532988651755,False
25,30,8,0.07700610160827637,0.04558839385792094,False,0.04386018415265879,False
26,30,8,0.07586336135864258,0.05364730358202455,False,0.06072358709170927,False
27,30,8,0.07613706588745117,0.04733549677614426,False,0.04842592039024565,False
28,30,8,0.07522892951965332,0.04203611303911541,False,0.047921604027434665,False
29,30,8,0.0752248764038086,0.040970793080446335,False,0.04758102914521032,False
30,30,8,0.07628870010375977,0.038033334213803664,True,0.04750579470078192,False
31,30,8,0.07453775405883789,0.03584175317134185,True,0.04663913455076807,False
32,30,8,0.07779979705810547,0.03506678562717554,True,0.04538587076390809,False
33,30,8,0.07396531105041504,0.03494970315778205,True,0.041541586581857554,True
34,30,8,0.07390117645263672,0.03590974934918387,False,0.04242095167904998,False
35,30,8,0.07449603080749512,0.042707917360154224,False,0.0497955597598802,False
36,30,8,0.07425093650817871,0.06994758398835611,False,0.0780375695530691,False
37,30,8,0.07336616516113281,0.0551872994699599,False,0.05537194790910642,False
38,30,8,0.07487821578979492,0.04457976024326452,False,0.07118325821717035,False
39,30,8,0.08387398719787598,0.04539952319363229,False,0.07394496303881738,False
40,30,8,0.07492208480834961,0.05155790533866525,False,0.10143742477472129,False
